Country Name,Country Code,Series Name,Series Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.95445381400542,4.12329277901139,4.19534263823654,3.88906040211758,4.12224508735352,4.29601548562594,4.277881788849,4.35988634439761,4.21636063230176,4.31443352245988,4.22753944174089,4.0894715157252,3.9872341980589,..,..
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2374.09759195982,2455.65608144863,2772.84329136519,2730.12336650941,2877.65265331343,2929.07502855568,3000.60352326565,2967.37655805218,3074.70207056563,..,..,..,..,..,..
Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,18.1206789094546,18.5028519848662,18.2830412439057,18.2074249597772,17.5814449601144,17.2681103655036,16.9692565563587,16.3986459950997,15.7558761009156,15.7864494009173,15.8720795379851,15.7386474030825,15.475516485656,..,..
Australia,AUS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,10490.48454191,10972.8917398068,10749.1105547503,10791.5930978208,10726.9281831902,10627.2938650379,10407.7403070759,10220.8873013463,10071.3989785006,..,..,..,..,..,..
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.77490938079997,1.84883593997795,1.9380268626479,1.80946064296739,2.03220381623177,2.11184451477929,2.26687811082304,2.40185952057599,2.49936201612059,2.34736573083425,2.14349752363003,2.16442150357383,2.04187419904738,..,..
Brazil,BRA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2072.36268025729,2167.60656085352,2229.84529915118,2197.12558127756,2374.1166283676,2430.80330981809,2501.47410302509,2568.82969521703,2619.96049944708,..,..,..,..,..,..
China,CHN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.90603499565224,5.30259468770037,5.43161049480808,5.79534426032481,6.33216591101925,6.90279214064116,7.05800347228649,7.32048505208564,7.25291914357129,7.16911217747699,7.11870541429571,7.22576899079988,7.40521134749736,..,..
China,CHN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2039.0146603408,2325.92676902765,2446.36905458402,2612.45662004417,2943.58995443689,3298.00391331196,3474.98806170157,3773.40538390134,3927.04449998901,..,..,..,..,..,..
France,FRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.8408041976332,5.6690313848081,5.56442899965839,5.31441442186309,5.3506589250195,5.10431227537594,5.12231119022055,5.10055617017218,4.59237682939366,4.66608659650847,4.68661220239091,4.72757562163375,4.61924120513374,..,..
France,FRA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,7540.29589048813,7513.5793304407,7643.45103708694,7338.04291913545,7734.72702051232,7232.97868415136,7363.42323479625,7367.84376840236,6939.94352490927,..,..,..,..,..,..
Germany,DEU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,9.88340709166992,9.52515567357219,9.61574798772921,8.9699549000494,9.4515653742443,9.29779081983736,9.44994992466537,9.64255894664068,9.10678232951564,9.08729093927033,9.0730063894536,8.85829369906254,8.55838981170216,..,..
Germany,DEU,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,7212.43744768757,7229.08991294766,7187.76400909623,6817.15839823657,7264.32259073555,7281.27217417162,7270.15252302734,7217.52908915495,7035.48297471676,..,..,..,..,..,..
India,IND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.04183979629495,1.1292167893744,1.18590477170691,1.28808099727395,1.34921446581292,1.40831559281322,1.50782097489256,1.5355600591395,1.6493275187685,1.64119839274392,1.64835905308142,1.71919020043,1.79982544579379,..,..
India,IND,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,509.214054753734,541.73839519579,561.247581414481,598.498241908181,640.394606751363,696.842681452116,723.236916567989,764.201134144621,804.5163492833,..,..,..,..,..,..
Indonesia,IDN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.58774969260843,1.63520707646083,1.60181930796165,1.65321047741763,1.72407358088346,1.96013325740302,1.95913319398553,1.8042510413422,1.92079996715062,1.89965869189427,1.89244089035547,2.01367107029183,2.17846155349724,..,..
Indonesia,IDN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,516.033912728677,546.153483045941,570.060473371623,593.942967712664,635.985247183333,680.282022240018,733.373890107275,773.990814189092,811.909858168648,910,956,1021,1064,1084,..
Italy,ITA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.02576652003813,7.86076804753594,7.56424830065774,6.71897026103485,6.8368363621512,6.68059415640586,6.32770894762567,5.75173986603037,5.38731095718742,5.56325970991024,5.49816520549801,5.43785754854959,5.37637433931087,..,..
Italy,ITA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,5833.46729676,5804.32596356739,5757.9606114778,5368.39056667135,5493.71103670054,5514.80361496787,5397.74147734024,5159.18365503785,5002.40667987736,..,..,..,..,..,..
Japan,JPN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,9.30952492686971,9.58086264951055,9.05507445554141,8.60004529586792,9.02693839306629,9.48244975866952,9.81140649852306,9.89367962650555,9.58405355290864,9.29283236721435,9.22394197021634,9.08563914300274,8.7422577098865,..,..
Japan,JPN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,8542.47813912744,8710.0257029242,8270.00773057011,8020.27380571196,8594.90903412197,8099.59869517261,7998.34677071825,7988.58331044764,7819.71463590936,..,..,..,..,..,..
