Country Name,Country Code,Series Name,Series Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,541640,529160,514410,465120,481790,444420,467080,453060,414850,400370,378890,366380,358800,..,..
United Kingdom,GBR,Forest area (sq. km),AG.LND.FRST.K2,30170,30275,30380,30485,30590,30782,30974,31166,31358,31550,31590,31640,31730,..,..
United States,USA,CO2 emissions (kt),EN.ATM.CO2E.KT,5656580,5740270,5563340,5159550,5392870,5172100,4950210,5089500,5102580,4982790,4888640,4813720,4981300,..,..
United States,USA,Forest area (sq. km),AG.LND.FRST.K2,3066464,3071648,3076832,3082016,3087200,3089950,3092700,3095450,3098200,3100950,3100950,3097950,3097950,..,..
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,1940,2360,4390,6000,8670,12260,10450,8510,7810,7990,7390,7380,7440,..,..
Afghanistan,AFG,Forest area (sq. km),AG.LND.FRST.K2,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,12084.4,..,..
Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,4050,4220,4170,4320,4580,5040,4580,4790,5220,5070,4930,5600,5560,..,..
Albania,ALB,Forest area (sq. km),AG.LND.FRST.K2,7769.62,7782.39,7795.16,7807.93,7820.7,7834.935,7849.17,7863.405,7877.64,7891.875,7891.8,7889.025,7889,..,..
Algeria,DZA,CO2 emissions (kt),EN.ATM.CO2E.KT,93750,100520,103990,112770,113140,118140,126640,129910,138810,145970,143350,145100,151670,..,..
Algeria,DZA,Forest area (sq. km),AG.LND.FRST.K2,17824,18163,18502,18841,19180,19256,19332,19408,19484,19560,19560,19430,19300,..,..
American Samoa,ASM,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Forest area (sq. km),AG.LND.FRST.K2,175.5,175.2,174.9,174.6,174.3,174,173.7,173.4,173.1,172.8,172.5,172.2,171.9,..,..
Andorra,AND,CO2 emissions (kt),EN.ATM.CO2E.KT,550,540,540,520,520,490,490,480,460,470,470,470,460,..,..
Andorra,AND,Forest area (sq. km),AG.LND.FRST.K2,160,160,160,160,160,160,160,160,160,160,160,160,160,..,..
Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,20340,23490,25080,27150,28530,29460,30250,32820,34630,35160,35410,30840,27340,..,..
Angola,AGO,Forest area (sq. km),AG.LND.FRST.K2,743782.44,738231.83,732681.22,727130.61,721580,716029.38,710478.76,704928.14,699377.52,693826.9,688276.2,682725.7,677175.1,..,..
Antigua and Barbuda,ATG,CO2 emissions (kt),EN.ATM.CO2E.KT,440,460,480,1390,490,510,720,470,480,490,500,500,530,..,..
Antigua and Barbuda,ATG,Forest area (sq. km),AG.LND.FRST.K2,90.48,89.81,89.14,88.47,87.8,87.14,86.48,85.82,85.16,84.5,83.8,83.2,82.5,..,..
